px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-25.1824	-5.57305	4.74847	2.1517	-0.556815	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492	0.326358
-25.3361	-5.38641	4.77485	2.14484	-0.519324	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557	1.32468
-25.4823	-5.15628	4.83828	2.11645	-0.521564	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322	0.624917
-25.613	-4.98065	4.81635	2.11345	-0.479011	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781	6.35756
-25.7255	-4.81332	4.74334	2.09725	-0.471028	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893	0.541924
-25.8467	-4.60676	4.75515	2.07873	-0.460006	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764	0.216661
-25.961	-4.35715	4.82239	2.04622	-0.47006	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279	0.531491
-26.0702	-4.13577	4.80293	2.00263	-0.520391	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471	11.1195
-26.1641	-3.8429	4.92245	1.95882	-0.53916	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337	1.85595
-26.2382	-3.60369	4.90883	1.90763	-0.591049	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875	3.52743
-26.2669	-3.33707	4.93048	1.85614	-0.614146	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081	4.30799
-26.3167	-3.09047	4.93111	1.81057	-0.642356	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954	0.48766
-26.3397	-2.86115	4.89141	1.77022	-0.651405	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493	1.47399
-26.3975	-2.63575	4.87307	1.7482	-0.634533	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696	1.44987
-26.471	-2.4976	4.70683	1.74197	-0.610256	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562	5.81664
-26.5262	-2.26351	4.72122	1.72526	-0.583588	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091	1.03012
-26.5753	-2.07265	4.65016	1.70649	-0.573652	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284	1.10111
-26.6062	-1.83827	4.65945	1.687	-0.5505	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141	2.0278
-26.6047	-1.58498	4.68988	1.64863	-0.561547	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664	1.17114
-26.6018	-1.3585	4.67083	1.60667	-0.589069	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852	1.64136
-26.6055	-1.13056	4.66036	1.57717	-0.589232	-26.5998	-1.14277	-26.6451	-1.04586	-0.161616	4.8271	0.0113201
-26.6346	-0.90946	4.64467	1.56221	-0.570157	-27.2008	-1.67679	-26.65	-0.804425	-0.0338883	4.83238	5.12952
-26.6463	-0.652146	4.69601	1.5387	-0.564277	-26.7355	-0.59539	-26.6485	-0.562811	0.0935412	4.83439	0.627753
-26.6338	-0.409844	4.71595	1.50059	-0.588521	-26.9891	0.0351487	-26.6406	-0.321181	0.220572	4.83317	2.27917
-26.589	-0.103482	4.8485	1.46052	-0.598012	-26.4553	0.0602653	-26.6264	-0.0796947	0.347104	4.82874	2.65365
-26.5695	0.137401	4.85328	1.43138	-0.602238	-26.9537	0.136943	-26.6059	0.161489	0.473041	4.82116	2.75468
-26.5459	0.43797	4.96895	1.4065	-0.595163	-26.6201	0.57588	-26.5792	0.402213	0.598287	4.81045	1.50925
-26.5337	0.677406	4.94837	1.39802	-0.557747	-26.8241	0.381506	-26.5462	0.642323	0.722748	4.79667	1.81953
-26.5257	0.962669	5.02593	1.38488	-0.541437	-26.7293	1.06082	-26.5069	0.881666	0.846334	4.77986	2.7972
-26.4877	1.22755	5.04444	1.37827	-0.494595	-25.9562	2.60409	-26.4616	1.12009	0.968955	4.76007	7.02827
-26.4307	1.45857	5.01546	1.3508	-0.497772	-26.3986	1.42212	-26.4101	1.35745	1.09053	4.73737	0.138537
-26.3921	1.67442	4.95122	1.3382	-0.474116	-26.5072	-0.563928	-26.3526	1.59361	1.21096	4.71181	8.51524
-26.3375	1.87718	4.88019	1.31403	-0.475384	-26.3594	1.79315	-26.2891	1.82841	1.33018	4.68345	0.479702
-26.2695	2.10813	4.87701	1.2858	-0.485053	-26.3475	1.82827	-26.2197	2.06173	1.44811	4.65235	0.239098
-26.2081	2.29286	4.78423	1.26123	-0.486366	-26.2502	2.18481	-26.1444	2.29342	1.56467	4.61859	0.848128
-26.1456	2.51761	4.76296	1.24978	-0.458993	-26.069	2.27896	-26.0633	2.52336	1.67979	4.58223	0.790395
-26.0665	2.7623	4.7999	1.22821	-0.457148	-26.0641	2.80701	-25.9765	2.75141	1.79339	4.54334	0.128382
-25.9718	2.9854	4.82248	1.18737	-0.498359	-26.3234	3.02388	-25.8841	2.97746	1.90543	4.502	2.87133
-25.8686	3.27316	4.94662	1.1663	-0.4929	-25.8345	3.42005	-25.7861	3.20139	2.01582	4.45828	1.45349
-25.7854	3.50429	4.9497	1.14726	-0.488225	-26.1824	3.73376	-25.6826	3.42306	2.12452	4.41227	2.13636
-25.6804	3.70032	4.89892	1.11891	-0.493	-25.6666	3.63509	-25.5737	3.64239	2.23146	4.36404	0.279865
-25.564	3.9071	4.88491	1.08808	-0.503232	-25.5773	3.13316	-25.4596	3.85924	2.3366	4.31367	1.14082
-25.4989	4.07871	4.77946	1.07301	-0.494276	-25.7492	3.99968	-25.3402	4.07353	2.43989	4.26125	3.78057
-25.3762	4.2786	4.77082	1.04361	-0.501474	-25.3516	3.75691	-25.2157	4.28514	2.54127	4.20686	0.595275
-25.2154	4.50195	4.82798	1.00939	-0.510139	-25.0214	4.52803	-25.0863	4.49399	2.64071	4.15058	2.0555
-25.0654	4.69659	4.80521	0.984735	-0.495649	-24.2719	4.30917	-24.9518	4.69998	2.73817	4.09251	8.94144
-24.9476	4.88941	4.78337	0.964329	-0.491445	-25.0363	4.88499	-24.8126	4.90303	2.83361	4.03273	0.420024
-24.7918	5.07948	4.78574	0.934295	-0.495679	-24.3609	4.95947	-24.6686	5.10304	2.92701	3.97132	2.30908
-24.622	5.29905	4.85403	0.907922	-0.49605	-24.5041	5.35293	-24.5201	5.29995	3.01833	3.90839	0.949276
-24.4499	5.47872	4.88216	0.865456	-0.529499	-24.4379	5.24592	-24.367	5.49367	3.10754	3.84401	0.917081
-24.2626	5.65187	4.88779	0.828601	-0.540329	-24.1159	5.61152	-24.2095	5.68414	3.19464	3.77827	1.22262
-24.0974	5.8125	4.87712	0.792578	-0.559249	-24.5638	4.75836	-24.0477	5.8713	3.27959	3.71127	3.19557
-23.9238	5.97182	4.85857	0.76149	-0.562983	-23.9153	5.94377	-23.8818	6.05508	3.36239	3.64309	0.0531246
-23.7815	6.15296	4.76857	0.767455	-0.494393	-23.5491	6.44495	-23.7117	6.23542	3.44302	3.57383	4.66952
